UNIX time,lat,lon
1485907200,45.47738,9.19675
1485907200,45.46853,9.12675
1485907260,45.46326,9.1831
1485907320,45.46035,9.20755
1485907380,45.46407,9.21359
1485907440,45.45217,9.19641
1485907440,45.48215,9.17711
1485907440,45.45138,9.21733
1485907440,45.45271,9.16579
1485907440,45.40174,9.14612
1485907500,45.44078,9.18003
1485907560,45.46301,9.16511
1485907680,45.48123,9.16711
1485907740,45.49945,9.19566
1485907740,45.45185,9.19222
1485907740,45.46371,9.23065
1485907740,45.4694,9.17113
1485907740,45.52145,9.2095
1485907740,45.46937,9.17116
1485907740,45.50337,9.16894
1485907740,45.44456,9.16487
1485907740,45.45264,9.13388
1485907740,45.48647,9.15189
1485907920,45.44024,9.185
1485907920,45.46371,9.23291
1485907980,45.48892,9.15973
1485907980,45.46156,9.22021
1485908100,45.46942,9.17119
1485908100,45.44287,9.21482
1485908160,45.49448,9.19356
1485908160,45.47738,9.19675
1485908160,45.4881,9.18826
1485908160,45.46117,9.13557
1485908280,45.51581,9.21891
1485908280,45.49267,9.14906
1485908280,45.46667,9.22237
1485908340,45.48462,9.22109
1485908400,45.47012,9.16738
1485908400,45.47516,9.22469
1485908460,45.48044,9.17885
1485908460,45.49047,9.18358
1485908460,45.46428,9.16526
1485908460,45.47012,9.21945
1485908460,45.49237,9.22948
1485908520,45.47621,9.18836
1485908520,45.48051,9.16119
1485908520,45.48336,9.21123
1485908520,45.47697,9.20727
1485908520,45.44566,9.16144
1485908580,45.44496,9.17652
1485908580,45.45641,9.15463
1485908580,45.49745,9.23309
1485908580,45.43861,9.14855
1485908640,45.43772,9.21287
1485908640,45.48808,9.16572
1485908640,45.46328,9.1727
1485908640,45.43388,9.24078
1485908640,45.42465,9.17693
1485908640,45.45831,9.15565
1485908760,45.44648,9.19481
1485908760,45.45271,9.16579
1485908760,45.51699,9.21439
1485908760,45.49622,9.18935
1485908760,45.49786,9.16717
1485908880,45.43619,9.18351
1485908940,45.45841,9.20724
1485908940,45.49976,9.21444
1485909000,45.48214,9.18809
1485909120,45.48457,9.16657
1485909120,45.43764,9.21287
1485909120,45.41521,9.17698
1485909120,45.50407,9.20118
1485909120,45.45031,9.18596
1485909180,45.4931,9.22082
1485909180,45.43958,9.18339
1485909180,45.48698,9.17188
1485909240,45.46781,9.20866
1485909300,45.48982,9.17089
1485909360,45.4809,9.19087
1485909360,45.45252,9.2106
1485909360,45.49855,9.14292
1485909360,45.49741,9.23352
1485909420,45.48112,9.22622
1485909420,45.48032,9.22211
1485909480,45.47098,9.23609
1485909480,45.44853,9.14266
1485909600,45.45841,9.20724
1485909600,45.46267,9.13337
1485909600,45.44937,9.14921
1485909600,45.43912,9.18373
1485909660,45.48334,9.18066
1485909720,45.44884,9.13976
1485909720,45.48332,9.14385
1485909720,45.48215,9.17711
1485909720,45.46395,9.14188
1485909780,45.48395,9.18009
1485909780,45.44801,9.21082
1485909780,45.47883,9.21002
1485909780,45.48395,9.18009
1485909840,45.51581,9.20847
1485909840,45.46752,9.13528
1485909900,45.44774,9.18459
1485909900,45.48922,9.18543
1485909960,45.44015,9.18902
1485910020,45.48619,9.1733
1485910020,45.47606,9.20499
1485910020,45.46663,9.15989
1485910020,45.50371,9.20385
1485910140,45.46292,9.17741
1485910140,45.43871,9.16035
1485910200,45.50521,9.22497
1485910200,45.4508,9.1579
1485910200,45.45097,9.20742
1485910200,45.49006,9.20352
1485910260,45.45626,9.19543
1485910380,45.44186,9.1539
1485910380,45.48565,9.21205
1485910380,45.47347,9.1442
1485910440,45.44774,9.18467
1485910500,45.44789,9.18298
1485910680,45.48306,9.18117
1485910680,45.4837,9.18073
1485910740,45.46424,9.17533
1485910740,45.48295,9.18111
1485910860,45.48306,9.18117
1485910980,45.46401,9.23017
1485911160,45.48323,9.18714
1485911160,45.45319,9.22415
1485911160,45.4833,9.18055
1485911160,45.48355,9.18024
1485911160,45.48358,9.18035
1485911220,45.48801,9.14866
1485911220,45.444,9.15264
1485911400,45.49513,9.18556
1485911400,45.51581,9.20847
1485911520,45.48014,9.20125
1485911580,45.46204,9.22625
1485911580,45.46222,9.15119
1485911640,45.45289,9.10257
1485911760,45.48801,9.14866
1485911760,45.44579,9.17701
1485911760,45.46556,9.22441
1485911820,45.48385,9.1802
1485911820,45.49071,9.22034
1485911820,45.48395,9.18006
1485911820,45.4468,9.20262
1485911820,45.4838,9.18014
1485911820,45.4713,9.10619
1485911880,45.44689,9.20302
1485912000,45.44685,9.20266
1485912060,45.49376,9.20591
1485912060,45.48367,9.18026
1485912060,45.49959,9.15129
1485912240,45.48358,9.18034
1485912300,45.47444,9.22128
1485912480,45.48383,9.17146
1485912480,45.48289,9.18122
1485912480,45.49314,9.21545
1485912480,45.49666,9.17005
1485912660,45.48353,9.23096
1485912780,45.47777,9.1839
1485912840,45.47742,9.21574
1485912900,45.43314,9.17772
1485912900,45.48497,9.18478
1485912960,45.47778,9.193
1485913080,45.43621,9.20598
1485913080,45.48377,9.18024
1485913140,45.45086,9.15901
1485913140,45.45094,9.15944
1485913200,45.4441,9.14249
1485913200,45.48353,9.18036
1485913260,45.48024,9.1831
1485913260,45.45091,9.12527
1485913320,45.48399,9.18017
1485913380,45.48018,9.18313
1485913380,45.45102,9.15995
1485913380,45.5199,9.22542
1485913380,45.44425,9.18008
1485913380,45.4941,9.20715
1485913560,45.49352,9.20784
1485913560,45.49866,9.16638
1485913620,45.44503,9.18424
1485913800,45.50061,9.22104
1485913800,45.47968,9.1836
1485914280,45.4776,9.19199
1485914280,45.49434,9.17664
1485914340,45.51591,9.21903
1485914400,45.48067,9.18185
1485914400,45.48098,9.18187
1485914400,45.48113,9.18198
1485914400,45.44544,9.18634
1485914460,45.47749,9.2193
1485914880,45.45453,9.14915
1485914880,45.49703,9.17633
1485914940,45.50294,9.1436
1485915000,45.448,9.15823
1485915120,45.48573,9.1679
1485915180,45.48575,9.1678
1485915300,45.47996,9.22447
1485915300,45.49088,9.2157
1485915480,45.43844,9.18333
1485915600,45.47731,9.14614
1485915780,45.49677,9.18984
1485915960,45.45091,9.14295
1485916080,45.46076,9.20795
1485916080,45.45757,9.20769
1485916080,45.50454,9.10115
1485916140,45.4844,9.23575
1485916200,45.43316,9.18229
1485916260,45.5017,9.19052
1485916260,45.48544,9.23175
1485916260,45.48522,9.21712
1485916500,45.48626,9.20715
1485916560,45.50413,9.14713
1485916920,45.49323,9.1448
1485917100,45.44503,9.18557
1485917100,45.47434,9.23404
1485917340,45.4461,9.17668
1485917340,45.44411,9.1712
1485917400,45.48749,9.16071
1485917880,45.4774,9.20656
1485918000,45.5169,9.1511
1485918120,45.46793,9.17482
1485918180,45.49027,9.20363
1485918300,45.48001,9.20346
1485918300,45.44148,9.15199
1485918720,45.51816,9.20694
1485918780,45.44078,9.18056
1485919140,45.48467,9.20623
1485919140,45.51816,9.20694
1485919440,45.46954,9.17585
1485919740,45.44444,9.21185
1485919800,45.48336,9.21123
1485919980,45.48529,9.20629
1485920160,45.48623,9.20719
1485920220,45.47149,9.21662
1485920340,45.45319,9.22415
1485920820,45.48051,9.16119
1485920940,45.48495,9.20633
1485921060,45.49027,9.22727
1485921060,45.48395,9.18009
1485921240,45.4821,9.16857
1485921300,45.48759,9.15787
1485921600,45.47347,9.1442
1485921780,45.46995,9.12806
1485921780,45.50186,9.20842
1485921840,45.48535,9.20686
1485921840,45.48424,9.20587
1485922140,45.47804,9.17447
1485922260,45.49472,9.18416
1485922620,45.46936,9.17293
1485922680,45.48993,9.22549
1485922860,45.48569,9.16337
1485922860,45.46838,9.23284
1485923100,45.48486,9.20696
1485923340,45.46791,9.17839
1485923400,45.46604,9.18062
1485923460,45.4331,9.17809
1485923640,45.48492,9.20645
1485923640,45.48383,9.17146
1485923880,45.49823,9.18165
1485924300,45.46757,9.20431
1485924300,45.50949,9.17136
