Lat,Lon,No. Cars
45.426,9.1348,0
45.426,9.1412,0
45.426,9.1476,0
45.426,9.154,0
45.426,9.1604,0
45.426,9.1668,1
45.426,9.1733,1
45.426,9.1797,2
45.426,9.1861,0
45.426,9.1925,0
45.426,9.1989,0
45.426,9.2054,1
45.426,9.2118,0
45.426,9.2182,0
45.426,9.2246,0
45.426,9.231,4
45.426,9.2375,0
45.426,9.2439,0
45.426,9.2503,4
45.426,9.2567,0
45.43,9.1348,0
45.43,9.1412,0
45.43,9.1476,0
45.43,9.154,1
45.43,9.1604,1
45.43,9.1668,2
45.43,9.1733,3
45.43,9.1797,1
45.43,9.1861,0
45.43,9.1925,0
45.43,9.1989,7
45.43,9.2054,6
45.43,9.2118,0
45.43,9.2182,0
45.43,9.2246,0
45.43,9.231,0
45.43,9.2375,0
45.43,9.2439,0
45.43,9.2503,0
45.43,9.2567,3
45.435,9.1348,0
45.435,9.1412,0
45.435,9.1476,4
45.435,9.154,0
45.435,9.1604,9
45.435,9.1668,0
45.435,9.1733,3
45.435,9.1797,28
45.435,9.1861,9
45.435,9.1925,1
45.435,9.1989,11
45.435,9.2054,20
45.435,9.2118,3
45.435,9.2182,1
45.435,9.2246,1
45.435,9.231,3
45.435,9.2375,9
45.435,9.2439,8
45.435,9.2503,2
45.435,9.2567,0
45.439,9.1348,4
45.439,9.1412,0
45.439,9.1476,19
45.439,9.154,18
45.439,9.1604,31
45.439,9.1668,9
45.439,9.1733,34
45.439,9.1797,35
45.439,9.1861,28
45.439,9.1925,22
45.439,9.1989,22
45.439,9.2054,4
45.439,9.2118,10
45.439,9.2182,11
45.439,9.2246,8
45.439,9.231,6
45.439,9.2375,3
45.439,9.2439,2
45.439,9.2503,0
45.439,9.2567,0
45.444,9.1348,1
45.444,9.1412,6
45.444,9.1476,19
45.444,9.154,30
45.444,9.1604,20
45.444,9.1668,31
45.444,9.1733,41
45.444,9.1797,60
45.444,9.1861,24
45.444,9.1925,11
45.444,9.1989,31
45.444,9.2054,13
45.444,9.2118,19
45.444,9.2182,12
45.444,9.2246,15
45.444,9.231,5
45.444,9.2375,0
45.444,9.2439,5
45.444,9.2503,3
45.444,9.2567,0
45.448,9.1348,3
45.448,9.1412,13
45.448,9.1476,15
45.448,9.154,33
45.448,9.1604,21
45.448,9.1668,32
45.448,9.1733,34
45.448,9.1797,60
45.448,9.1861,66
45.448,9.1925,61
45.448,9.1989,37
45.448,9.2054,65
45.448,9.2118,28
45.448,9.2182,27
45.448,9.2246,13
45.448,9.231,1
45.448,9.2375,0
45.448,9.2439,3
45.448,9.2503,2
45.448,9.2567,2
45.453,9.1348,14
45.453,9.1412,12
45.453,9.1476,16
45.453,9.154,28
45.453,9.1604,94
45.453,9.1668,76
45.453,9.1733,59
45.453,9.1797,33
45.453,9.1861,76
45.453,9.1925,68
45.453,9.1989,81
45.453,9.2054,69
45.453,9.2118,60
45.453,9.2182,36
45.453,9.2246,15
45.453,9.231,0
45.453,9.2375,0
45.453,9.2439,6
45.453,9.2503,4
45.453,9.2567,2
45.457,9.1348,11
45.457,9.1412,3
45.457,9.1476,20
45.457,9.154,52
45.457,9.1604,51
45.457,9.1668,52
45.457,9.1733,82
45.457,9.1797,55
45.457,9.1861,72
45.457,9.1925,40
45.457,9.1989,21
45.457,9.2054,81
45.457,9.2118,69
45.457,9.2182,23
45.457,9.2246,14
45.457,9.231,2
45.457,9.2375,0
45.457,9.2439,2
45.457,9.2503,0
45.457,9.2567,0
45.462,9.1348,19
45.462,9.1412,11
45.462,9.1476,8
45.462,9.154,58
45.462,9.1604,51
45.462,9.1668,40
45.462,9.1733,48
45.462,9.1797,63
45.462,9.1861,27
45.462,9.1925,57
45.462,9.1989,54
45.462,9.2054,92
45.462,9.2118,64
45.462,9.2182,17
45.462,9.2246,24
45.462,9.231,26
45.462,9.2375,8
45.462,9.2439,1
45.462,9.2503,0
45.462,9.2567,0
45.466,9.1348,18
45.466,9.1412,21
45.466,9.1476,26
45.466,9.154,43
45.466,9.1604,69
45.466,9.1668,91
45.466,9.1733,67
45.466,9.1797,59
45.466,9.1861,47
45.466,9.1925,56
45.466,9.1989,76
45.466,9.2054,46
45.466,9.2118,79
45.466,9.2182,17
45.466,9.2246,47
45.466,9.231,30
45.466,9.2375,12
45.466,9.2439,2
45.466,9.2503,0
45.466,9.2567,0
45.471,9.1348,4
45.471,9.1412,18
45.471,9.1476,37
45.471,9.154,43
45.471,9.1604,40
45.471,9.1668,34
45.471,9.1733,31
45.471,9.1797,54
45.471,9.1861,98
45.471,9.1925,83
45.471,9.1989,87
45.471,9.2054,66
45.471,9.2118,49
45.471,9.2182,33
45.471,9.2246,32
45.471,9.231,23
45.471,9.2375,25
45.471,9.2439,2
45.471,9.2503,5
45.471,9.2567,0
45.475,9.1348,7
45.475,9.1412,14
45.475,9.1476,47
45.475,9.154,15
45.475,9.1604,47
45.475,9.1668,34
45.475,9.1733,30
45.475,9.1797,18
45.475,9.1861,87
45.475,9.1925,102
45.475,9.1989,48
45.475,9.2054,68
45.475,9.2118,55
45.475,9.2182,38
45.475,9.2246,19
45.475,9.231,19
45.475,9.2375,3
45.475,9.2439,2
45.475,9.2503,4
45.475,9.2567,0
45.48,9.1348,1
45.48,9.1412,3
45.48,9.1476,46
45.48,9.154,7
45.48,9.1604,29
45.48,9.1668,79
45.48,9.1733,83
45.48,9.1797,55
45.48,9.1861,92
45.48,9.1925,73
45.48,9.1989,85
45.48,9.2054,45
45.48,9.2118,56
45.48,9.2182,37
45.48,9.2246,23
45.48,9.231,8
45.48,9.2375,12
45.48,9.2439,0
45.48,9.2503,1
45.48,9.2567,0
45.484,9.1348,2
45.484,9.1412,13
45.484,9.1476,16
45.484,9.154,28
45.484,9.1604,38
45.484,9.1668,67
45.484,9.1733,42
45.484,9.1797,86
45.484,9.1861,45
45.484,9.1925,23
45.484,9.1989,65
45.484,9.2054,194
45.484,9.2118,39
45.484,9.2182,32
45.484,9.2246,26
45.484,9.231,38
45.484,9.2375,4
45.484,9.2439,10
45.484,9.2503,0
45.484,9.2567,0
45.489,9.1348,4
45.489,9.1412,9
45.489,9.1476,19
45.489,9.154,38
45.489,9.1604,27
45.489,9.1668,49
45.489,9.1733,10
45.489,9.1797,16
45.489,9.1861,52
45.489,9.1925,37
45.489,9.1989,31
45.489,9.2054,39
45.489,9.2118,35
45.489,9.2182,19
45.489,9.2246,21
45.489,9.231,16
45.489,9.2375,14
45.489,9.2439,0
45.489,9.2503,0
45.489,9.2567,2
45.493,9.1348,6
45.493,9.1412,14
45.493,9.1476,24
45.493,9.154,25
45.493,9.1604,33
45.493,9.1668,22
45.493,9.1733,8
45.493,9.1797,49
45.493,9.1861,28
45.493,9.1925,30
45.493,9.1989,14
45.493,9.2054,31
45.493,9.2118,9
45.493,9.2182,23
45.493,9.2246,13
45.493,9.231,13
45.493,9.2375,11
45.493,9.2439,0
45.493,9.2503,0
45.493,9.2567,0
45.498,9.1348,15
45.498,9.1412,21
45.498,9.1476,9
45.498,9.154,13
45.498,9.1604,8
45.498,9.1668,31
45.498,9.1733,10
45.498,9.1797,13
45.498,9.1861,20
45.498,9.1925,11
45.498,9.1989,18
45.498,9.2054,16
45.498,9.2118,11
45.498,9.2182,10
45.498,9.2246,14
45.498,9.231,21
45.498,9.2375,0
45.498,9.2439,0
45.498,9.2503,0
45.498,9.2567,0
45.502,9.1348,5
45.502,9.1412,15
45.502,9.1476,11
45.502,9.154,13
45.502,9.1604,20
45.502,9.1668,15
45.502,9.1733,6
45.502,9.1797,11
45.502,9.1861,12
45.502,9.1925,12
45.502,9.1989,23
45.502,9.2054,9
45.502,9.2118,6
45.502,9.2182,7
45.502,9.2246,24
45.502,9.231,2
45.502,9.2375,4
45.502,9.2439,3
45.502,9.2503,2
45.502,9.2567,0
45.507,9.1348,0
45.507,9.1412,0
45.507,9.1476,0
45.507,9.154,0
45.507,9.1604,9
45.507,9.1668,14
45.507,9.1733,7
45.507,9.1797,19
45.507,9.1861,11
45.507,9.1925,3
45.507,9.1989,8
45.507,9.2054,7
45.507,9.2118,6
45.507,9.2182,0
45.507,9.2246,13
45.507,9.231,2
45.507,9.2375,1
45.507,9.2439,5
45.507,9.2503,2
45.507,9.2567,0
45.511,9.1348,1
45.511,9.1412,1
45.511,9.1476,4
45.511,9.154,0
45.511,9.1604,0
45.511,9.1668,0
45.511,9.1733,8
45.511,9.1797,4
45.511,9.1861,2
45.511,9.1925,6
45.511,9.1989,7
45.511,9.2054,9
45.511,9.2118,26
45.511,9.2182,2
45.511,9.2246,4
45.511,9.231,1
